Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.901,32,-636.992009541,-636.899619075,0.0145063%,0.09239,-636.992009541,-636.899619075,N/A,N/A,N/A,0/5,none,none
1.660,32,-636.992009541,-636.899619075,0.0145063%,0.09239,-636.992009541,-636.899619075,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
