# simplex_record_ms_cs_detail.txt — per-scenario ms/cs values and points
# For the selected (LB) simplex each iteration
# ms_val, ms_pt (coordinates), ms_bary (barycentric)
# cs_val, cs_pt (coordinates), cs_bary (barycentric)

=== Iter 1 ===
simplex: T1  verts=(0, 1, 3, 4)  cs_status=full  ms_status=none
    s=27  cs=9.472980e-01  pt=(-9.993302, -99.986480, 1.160935)  bary=(0.000068, 0.505737, 0.000335, 0.493860)
    s=28  cs=9.414352e-01  pt=(-9.999797, -99.999592, 0.507949)  bary=(0.000002, 0.502538, 0.000010, 0.497450)
    s=29  cs=1.078299e+00  pt=(-9.999998, -99.999996, 1.952878)  bary=(0.000000, 0.509764, 0.000000, 0.490236)
    s=30  cs=9.664952e-01  pt=(-9.999983, -99.999965, 0.914000)  bary=(0.000000, 0.504570, 0.000001, 0.495429)
    s=31  cs=9.435536e-01  pt=(-9.994192, -99.988763, 0.655307)  bary=(0.000056, 0.503220, 0.000290, 0.496433)
    s=32  cs=9.445914e-01  pt=(-9.996258, -99.991928, 0.507553)  bary=(0.000040, 0.502497, 0.000187, 0.497275)
    s=33  cs=1.104680e+00  pt=(-10.000000, -100.000000, 2.382804)  bary=(0.000000, 0.511914, -0.000000, 0.488086)
    s=34  cs=1.036112e+00  pt=(-9.999995, -99.999990, 1.369934)  bary=(0.000000, 0.506850, 0.000000, 0.493150)
    s=35  cs=9.656042e-01  pt=(-9.999928, -99.999843, 1.873803)  bary=(0.000001, 0.509368, 0.000004, 0.490627)
    s=36  cs=1.055624e+00  pt=(-10.000000, -100.000000, 2.023567)  bary=(0.000000, 0.510118, -0.000000, 0.489882)
    s=37  cs=9.560079e-01  pt=(-10.000000, -100.000000, 1.750168)  bary=(0.000000, 0.508751, -0.000000, 0.491249)
    s=38  cs=9.879020e-01  pt=(-9.999989, -99.999977, 1.648080)  bary=(0.000000, 0.508240, 0.000001, 0.491759)
    s=39  cs=9.828708e-01  pt=(-9.999995, -99.999989, 0.120512)  bary=(0.000000, 0.500603, 0.000000, 0.499397)
    s=40  cs=9.686117e-01  pt=(-9.999984, -99.999971, -0.373180)  bary=(0.000000, 0.498134, 0.000001, 0.501865)
    s=41  cs=9.438440e-01  pt=(-2.008308, -100.000000, 0.000001)  bary=(0.000000, 0.500000, 0.399585, 0.100415)
    s=42  cs=9.514554e-01  pt=(-9.999970, -99.999939, 0.206169)  bary=(0.000000, 0.501031, 0.000001, 0.498968)
    s=43  cs=1.099829e+00  pt=(-9.999998, -99.999995, -1.970375)  bary=(0.000000, 0.490148, 0.000000, 0.509852)
    s=44  cs=9.456053e-01  pt=(-9.999849, -99.999698, 0.940687)  bary=(0.000002, 0.504702, 0.000008, 0.495289)
