Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
1013.108,8,0.979233645,2.212738405,55.7456208%,1.23350,0.979233645,2.212738405,N/A,N/A,N/A,0/50,none,none
1014.360,8,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,INSIDE,ok_not_best,0/50,50/50; 50/50; 50/50,150/150
1020.437,9,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,OUTSIDE,ok_not_best,0/50,50/50; 50/50; 50/50,150/150
1022.438,10,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,OUTSIDE,ok_not_best,0/50,50/50; 50/50; 50/50,150/150
1024.518,11,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,OUTSIDE,ok_not_best,0/50,50/50; 50/50,100/100
1086.828,12,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,OUTSIDE,failed,0/50,50/50; 50/50; 50/50,150/150
1095.091,13,0.979233645,0.979664409,0.0439706%,0.00043,0.979233645,0.979664409,OUTSIDE,OUTSIDE,failed,0/50,50/50; 50/50,100/100
