Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
1.668,4,-21.313619801,-19.995136558,6.5940197%,1.31848,-21.313619801,-19.995136558,INSIDE,INSIDE
3.723,5,-21.320625034,-19.995136797,6.6290531%,1.32549,-21.313619801,-19.995136797,INSIDE,INSIDE
6.642,6,-21.307917660,-19.995136797,6.5655008%,1.31278,-21.307917660,-19.995136797,INSIDE,INSIDE
8.812,7,-21.237985980,-19.995137204,6.2157552%,1.24285,-21.237985980,-19.995137204,OUTSIDE,INSIDE
10.983,8,-21.037687929,-19.995137204,5.2140214%,1.04255,-21.037687929,-19.995137204,INSIDE,OUTSIDE
13.209,9,-21.032212155,-19.995137204,5.1866358%,1.03707,-21.032212155,-19.995137204,INSIDE,OUTSIDE
15.323,10,-21.018606726,-19.995137204,5.1185921%,1.02347,-21.018606726,-19.995137204,INSIDE,OUTSIDE
17.434,11,-21.129027112,-19.995137204,5.6708283%,1.13389,-21.018606726,-19.995137204,INSIDE,OUTSIDE
20.466,12,-21.090528140,-19.995137204,5.4782867%,1.09539,-21.018606726,-19.995137204,INSIDE,OUTSIDE
22.535,13,-20.932915966,-19.995137204,4.6900341%,0.93778,-20.932915966,-19.995137204,OUTSIDE,OUTSIDE
24.684,14,-20.369152271,-19.995137204,1.8705301%,0.37402,-20.369152271,-19.995137204,OUTSIDE,OUTSIDE
26.851,15,-20.369151082,-19.995137204,1.8705242%,0.37401,-20.369151082,-19.995137204,OUTSIDE,INSIDE
29.079,16,-20.328894606,-19.995137204,1.6691929%,0.33376,-20.328894606,-19.995137204,INSIDE,OUTSIDE
31.194,17,-20.369161154,-19.995150267,1.8705080%,0.37401,-20.328894606,-19.995150267,INSIDE,OUTSIDE
33.342,18,-20.328888764,-19.995150267,1.6690972%,0.33374,-20.328888764,-19.995150267,INSIDE,INSIDE
35.548,19,-20.256578802,-19.995150267,1.3074597%,0.26143,-20.256578802,-19.995150267,OUTSIDE,OUTSIDE
35.897,20,-20.256568744,-19.995150267,1.3074094%,0.26142,-20.256568744,-19.995150267,OUTSIDE,INSIDE
36.274,21,-20.188836201,-19.995150267,0.9686646%,0.19369,-20.188836201,-19.995150267,INSIDE,OUTSIDE
38.334,22,-20.214265091,-19.995150267,1.0958398%,0.21911,-20.188836201,-19.995150267,INSIDE,OUTSIDE
40.304,23,-20.172104288,-19.995150267,0.8849847%,0.17695,-20.172104288,-19.995150267,OUTSIDE,OUTSIDE
40.577,24,-20.172103910,-19.995150267,0.8849828%,0.17695,-20.172103910,-19.995150267,INSIDE,OUTSIDE
41.671,25,-20.172103533,-19.995150267,0.8849809%,0.17695,-20.172103533,-19.995150267,INSIDE,OUTSIDE
42.804,26,-20.172103156,-19.995150267,0.8849790%,0.17695,-20.172103156,-19.995150267,INSIDE,OUTSIDE
43.901,27,-20.172102778,-19.995150267,0.8849771%,0.17695,-20.172102778,-19.995150267,INSIDE,OUTSIDE
45.028,28,-20.172102401,-19.995150267,0.8849753%,0.17695,-20.172102401,-19.995150267,INSIDE,OUTSIDE
46.139,29,-20.172102024,-19.995150267,0.8849734%,0.17695,-20.172102024,-19.995150267,INSIDE,OUTSIDE
47.266,30,-20.172101646,-19.995150267,0.8849715%,0.17695,-20.172101646,-19.995150267,INSIDE,OUTSIDE
48.378,31,-20.172101269,-19.995150267,0.8849696%,0.17695,-20.172101269,-19.995150267,INSIDE,OUTSIDE
49.613,32,-20.172100875,-19.995150267,0.8849676%,0.17695,-20.172100875,-19.995150267,INSIDE,OUTSIDE
50.781,33,-20.172100498,-19.995150267,0.8849657%,0.17695,-20.172100498,-19.995150267,INSIDE,OUTSIDE
52.053,34,-20.172100121,-19.995150267,0.8849639%,0.17695,-20.172100121,-19.995150267,INSIDE,OUTSIDE
53.235,35,-20.172099743,-19.995150267,0.8849620%,0.17695,-20.172099743,-19.995150267,INSIDE,OUTSIDE
