Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.918,32,14423.862543334,14489.857990356,0.4554596%,65.99545,14423.862543334,14489.857990356,N/A,N/A,N/A,0/10,none,none
1.803,32,14423.862543334,14489.857980200,0.4554595%,65.99544,14423.862543334,14489.857980200,OUTSIDE,INSIDE,ok_not_best,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10,none
