Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.090,8,102.479900257,16919.045867280,99.3942927%,16816.56597,102.479900257,16919.045867280,N/A,N/A,N/A,0/2,none,none
0.187,8,102.479900257,102.694714750,0.2091777%,0.21481,102.479900257,102.694714750,OUTSIDE,INSIDE,ok_not_best,0/2,0/2; 0/2; 0/2; 0/2,none
1.166,9,102.545454042,102.694714750,0.1453441%,0.14926,102.545454042,102.694714750,OUTSIDE,INSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
1.644,10,102.551341541,102.694714750,0.1396111%,0.14337,102.551341541,102.694714750,OUTSIDE,INSIDE,ok_not_best,0/2,0/2; 0/2; 0/2; 0/2,none
2.234,11,102.559173391,102.694714750,0.1319847%,0.13554,102.559173391,102.694714750,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2,none
2.785,12,102.559173391,102.694714750,0.1319847%,0.13554,102.559173391,102.694714750,N/A,N/A,early_exit:mode4_too_close_to_existing_node,0/2,none,none
