Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
92.420,32,-117.566946601,-117.527803121,0.0333057%,0.03914,-117.566946601,-117.527803121,INSIDE,INSIDE
141.139,33,-117.566946592,-117.527803121,0.0333057%,0.03914,-117.566946592,-117.527803121,OUTSIDE,INSIDE
166.111,34,-117.566946593,-117.527803121,0.0333057%,0.03914,-117.566946592,-117.527803121,INSIDE,INSIDE
195.293,35,-117.566946588,-117.527803121,0.0333057%,0.03914,-117.566946588,-117.527803121,OUTSIDE,INSIDE
222.180,36,-117.566946583,-117.527803121,0.0333057%,0.03914,-117.566946583,-117.527803121,INSIDE,INSIDE
250.998,37,-117.566946583,-117.527803121,0.0333057%,0.03914,-117.566946583,-117.527803121,INSIDE,INSIDE
277.600,38,-117.566946587,-117.527803121,0.0333057%,0.03914,-117.566946583,-117.527803121,INSIDE,INSIDE
