Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,cs_status_choosen,cs_status_all
0.600,32,-4229.232915671,-4223.635907156,0.1325164%,5.59701,-4229.232915671,-4223.635907156,N/A,N/A,0/5,none
1.593,32,-4229.232915671,-4223.635907156,0.1325164%,5.59701,-4229.232915671,-4223.635907156,OUTSIDE,INSIDE,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5
