Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
6.992,32,4912.303076348,5984.972967759,17.9227191%,1072.66989,4912.303076348,5984.972967759,N/A,N/A,N/A,0/100,none,none
17.264,32,4912.303076348,5984.972967759,17.9227191%,1072.66989,4912.303076348,5984.972967759,OUTSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100; 0/100; 0/100; 0/100; 0/100,none
1078.160,33,5641.134487826,5984.972967759,5.7450298%,343.83848,5641.134487826,5984.972967759,INSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100; 0/100; 0/100; 0/100; 0/100,none
1269.887,34,5641.136141842,5984.972967759,5.7450022%,343.83683,5641.136141842,5984.972967759,INSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100; 0/100; 0/100; 0/100,none
