Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,cs_status_choosen,cs_status_all
5.049,8,0.984014432,2.223894857,55.7526549%,1.23988,0.984014432,2.223894857,N/A,N/A,0/5,none
17.895,8,0.983990168,0.984167037,0.0179714%,0.00018,0.984014432,0.984167037,INSIDE,INSIDE,0/5,0/5; 0/5; 0/5
38.229,9,0.983990168,0.984167037,0.0179714%,0.00018,0.984014432,0.984167037,INSIDE,INSIDE,0/5,0/5; 0/5; 0/5; 0/5
