Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.538,8,113.227603847,35774.660414281,99.6834978%,35661.43281,113.227603847,35774.660414281,N/A,N/A,N/A,0/5,none,none
1.358,8,113.227603847,3312.370888248,96.5816749%,3199.14328,113.227603847,3312.370888248,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
4.533,9,955.490436452,3312.370888248,71.1538814%,2356.88045,955.490436452,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
6.883,10,979.342758245,3312.370888248,70.4337832%,2333.02813,979.342758245,3312.370888248,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
8.922,11,998.854046307,3312.370888248,69.8447402%,2313.51684,998.854046307,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
11.003,12,1000.629500581,3312.370888248,69.7911395%,2311.74139,1000.629500581,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
13.089,13,1002.485031519,3312.370888248,69.7351213%,2309.88586,1002.485031519,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
15.251,14,1002.485032290,3312.370888248,69.7351213%,2309.88586,1002.485032290,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
16.587,15,1002.485031390,3312.370888248,69.7351213%,2309.88586,1002.485032290,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
18.225,16,1002.485031799,3312.370888248,69.7351213%,2309.88586,1002.485032290,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
19.604,17,1002.485032712,3312.370888248,69.7351213%,2309.88586,1002.485032712,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
21.404,18,1009.668906677,3312.370888248,69.5182411%,2302.70198,1009.668906677,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
22.858,19,1010.271513338,3312.370888248,69.5000485%,2302.09937,1010.271513338,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
24.630,20,1012.853676364,3312.370888248,69.4220934%,2299.51721,1012.853676364,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
26.879,21,1013.016018340,3312.370888248,69.4171923%,2299.35487,1013.016018340,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
28.706,22,1013.016018912,3312.370888248,69.4171923%,2299.35487,1013.016018912,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
30.493,23,1013.213923052,3312.370888248,69.4112176%,2299.15697,1013.213923052,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
32.763,24,1013.221632503,3312.370888248,69.4109849%,2299.14926,1013.221632503,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
34.164,25,1013.223126632,3312.370888248,69.4109398%,2299.14776,1013.223126632,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
35.662,26,1013.223128201,3312.370888248,69.4109397%,2299.14776,1013.223128201,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
37.082,27,1013.223127322,3312.370888248,69.4109397%,2299.14776,1013.223128201,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
38.457,28,1013.223127086,3312.370888248,69.4109397%,2299.14776,1013.223128201,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
39.823,29,1013.223127665,3312.370888248,69.4109397%,2299.14776,1013.223128201,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
41.244,30,1013.223127185,3312.370888248,69.4109397%,2299.14776,1013.223128201,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
