# debug_dual_gt_obj.txt — subproblems where dual_bound > primal_obj
# Format: [Iter N] [MS/CS] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., gap=...

[Iter 1] [CS] simplex_idx=2, verts=(3, 4, 5, 7), scenario=0, dual_bound=413.2684624130152, primal_obj=413.2684623277309, gap=8.528428452336811e-08
[Iter 3] [CS] simplex_idx=7, verts=(4, 7, 8, 9), scenario=3, dual_bound=786.0473872728726, primal_obj=786.0473872615169, gap=1.1355723472661339e-08
[Iter 4] [CS] simplex_idx=7, verts=(4, 5, 8, 9), scenario=0, dual_bound=413.2684633690769, primal_obj=413.26846325664604, gap=1.1243088238188648e-07
[Iter 7] [CS] simplex_idx=13, verts=(4, 8, 9, 11), scenario=0, dual_bound=413.2684638703395, primal_obj=413.26846383135324, gap=3.898622935594176e-08
[Iter 8] [CS] simplex_idx=10, verts=(4, 8, 9, 10), scenario=0, dual_bound=413.2684640422922, primal_obj=413.26846398136956, gap=6.092261628509732e-08
[Iter 8] [CS] simplex_idx=10, verts=(4, 8, 9, 10), scenario=1, dual_bound=118.49743235789538, primal_obj=118.4974317704279, gap=5.874674826600312e-07
[Iter 11] [CS] simplex_idx=20, verts=(8, 9, 11, 14), scenario=1, dual_bound=118.49743261160438, primal_obj=118.49743243529234, gap=1.7631204229928699e-07
[Iter 12] [CS] simplex_idx=17, verts=(4, 5, 8, 13), scenario=3, dual_bound=786.0473872956209, primal_obj=786.0473872790994, gap=1.6521426005056128e-08
[Iter 13] [CS] simplex_idx=27, verts=(4, 5, 8, 19), scenario=0, dual_bound=413.26846403914897, primal_obj=413.2684636054025, gap=4.3374649294491974e-07
[Iter 13] [CS] simplex_idx=27, verts=(4, 5, 8, 19), scenario=1, dual_bound=179.10603058447123, primal_obj=179.1060298935056, gap=6.909656349307625e-07
[Iter 16] [CS] simplex_idx=34, verts=(4, 8, 21, 22), scenario=0, dual_bound=413.26846342396675, primal_obj=413.26846323894006, gap=1.8502669263398275e-07
[Iter 16] [CS] simplex_idx=34, verts=(4, 8, 21, 22), scenario=1, dual_bound=186.09787943202355, primal_obj=186.09787808298807, gap=1.3490354717760056e-06
[Iter 17] [CS] simplex_idx=37, verts=(4, 8, 22, 23), scenario=4, dual_bound=248.96721431268816, primal_obj=248.96721272574285, gap=1.5869453022787638e-06
[Iter 20] [CS] simplex_idx=40, verts=(4, 8, 22, 26), scenario=4, dual_bound=248.9672147477977, primal_obj=248.9672146689059, gap=7.889178732511937e-08
[Iter 21] [CS] simplex_idx=42, verts=(4, 8, 22, 27), scenario=0, dual_bound=413.268463563556, primal_obj=413.26846330915373, gap=2.544022663641954e-07
[Iter 21] [CS] simplex_idx=42, verts=(4, 8, 22, 27), scenario=4, dual_bound=248.96721588183573, primal_obj=248.9672127678429, gap=3.113992818271072e-06
[Iter 23] [CS] simplex_idx=44, verts=(4, 8, 22, 29), scenario=4, dual_bound=248.96721256075398, primal_obj=248.96721220784244, gap=3.529115417677531e-07
[Iter 24] [CS] simplex_idx=44, verts=(4, 8, 22, 30), scenario=4, dual_bound=248.96721205300855, primal_obj=248.9672120124424, gap=4.056616376146849e-08
[Iter 27] [CS] simplex_idx=48, verts=(4, 8, 22, 33), scenario=0, dual_bound=413.2684629516043, primal_obj=413.26846291644483, gap=3.51594735548133e-08
[Iter 28] [CS] simplex_idx=48, verts=(4, 8, 22, 34), scenario=0, dual_bound=413.2684643154462, primal_obj=413.2684642828801, gap=3.256610625612666e-08
[Iter 28] [CS] simplex_idx=48, verts=(4, 8, 22, 34), scenario=4, dual_bound=248.967214951168, primal_obj=248.96721437426245, gap=5.769055348991969e-07
[Iter 30] [CS] simplex_idx=50, verts=(4, 8, 22, 36), scenario=4, dual_bound=248.96721461952984, primal_obj=248.9672145779206, gap=4.1609240497564315e-08
[Iter 34] [CS] simplex_idx=54, verts=(4, 8, 22, 40), scenario=4, dual_bound=248.96721508091287, primal_obj=248.96721471056063, gap=3.703522395426262e-07
[Iter 36] [CS] simplex_idx=56, verts=(4, 8, 22, 42), scenario=4, dual_bound=248.96721502988657, primal_obj=248.96721464962482, gap=3.8026175275263085e-07
[Iter 37] [CS] simplex_idx=58, verts=(4, 8, 22, 43), scenario=0, dual_bound=413.2684632413184, primal_obj=413.2684630505803, gap=1.907380919874413e-07
[Iter 38] [CS] simplex_idx=58, verts=(4, 8, 22, 44), scenario=0, dual_bound=413.26846420580114, primal_obj=413.2684641850415, gap=2.0759614471899113e-08
[Iter 39] [CS] simplex_idx=59, verts=(4, 8, 22, 45), scenario=0, dual_bound=413.2684629207979, primal_obj=413.26846289392864, gap=2.686925881789648e-08
[Iter 40] [CS] simplex_idx=61, verts=(4, 8, 22, 46), scenario=0, dual_bound=413.26846363529694, primal_obj=413.2684630070557, gap=6.282412527980341e-07
[Iter 41] [CS] simplex_idx=61, verts=(4, 8, 22, 47), scenario=4, dual_bound=248.9672152504645, primal_obj=248.96721293670504, gap=2.3137594666877703e-06
[Iter 45] [CS] simplex_idx=65, verts=(4, 8, 22, 51), scenario=4, dual_bound=248.96721451473422, primal_obj=248.96721433358405, gap=1.8115017041964165e-07
[Iter 47] [CS] simplex_idx=67, verts=(4, 8, 22, 53), scenario=0, dual_bound=413.2684643024586, primal_obj=413.26846400747075, gap=2.9498784215320484e-07
[Iter 48] [CS] simplex_idx=69, verts=(4, 8, 22, 54), scenario=0, dual_bound=413.26846315586226, primal_obj=413.2684629656218, gap=1.9024048469873378e-07
[Iter 49] [CS] simplex_idx=50, verts=(8, 22, 35, 36), scenario=0, dual_bound=413.26846502768785, primal_obj=413.2684648526914, gap=1.7499644400231773e-07
[Iter 49] [CS] simplex_idx=50, verts=(8, 22, 35, 36), scenario=4, dual_bound=248.96721401522154, primal_obj=248.96721388579786, gap=1.2942368243784586e-07
[Iter 51] [CS] simplex_idx=71, verts=(8, 22, 36, 57), scenario=0, dual_bound=413.268465447316, primal_obj=413.26846530689176, gap=1.4042421980775543e-07
[Iter 51] [CS] simplex_idx=71, verts=(8, 22, 36, 57), scenario=4, dual_bound=248.9672128211423, primal_obj=248.96721273461944, gap=8.652287419863569e-08
[Iter 52] [CS] simplex_idx=73, verts=(8, 22, 36, 58), scenario=4, dual_bound=248.96721403269112, primal_obj=248.96721400089334, gap=3.179778218509455e-08
[Iter 53] [CS] simplex_idx=73, verts=(8, 22, 36, 59), scenario=4, dual_bound=248.96721268370675, primal_obj=248.96721265880586, gap=2.490088490958442e-08
[Iter 55] [CS] simplex_idx=75, verts=(8, 22, 36, 61), scenario=0, dual_bound=413.26846630424734, primal_obj=413.2684661908776, gap=1.1336976513121044e-07
[Iter 55] [CS] simplex_idx=75, verts=(8, 22, 36, 61), scenario=4, dual_bound=248.96721421249822, primal_obj=248.96721277860075, gap=1.4338974665406568e-06
[Iter 57] [CS] simplex_idx=77, verts=(8, 22, 36, 63), scenario=0, dual_bound=413.2684664112621, primal_obj=413.26846639026934, gap=2.0992786176066147e-08
[Iter 57] [CS] simplex_idx=77, verts=(8, 22, 36, 63), scenario=4, dual_bound=248.96721294539748, primal_obj=248.96721263241346, gap=3.1298401381718577e-07
[Iter 58] [CS] simplex_idx=79, verts=(8, 22, 36, 64), scenario=0, dual_bound=413.26846662029857, primal_obj=413.268466561624, gap=5.8674572755990084e-08
[Iter 58] [CS] simplex_idx=79, verts=(8, 22, 36, 64), scenario=4, dual_bound=248.96721460640038, primal_obj=248.96721386116172, gap=7.452386512341036e-07
[Iter 59] [CS] simplex_idx=79, verts=(8, 22, 36, 65), scenario=0, dual_bound=413.2684642384502, primal_obj=413.2684641814388, gap=5.70113911635417e-08
[Iter 60] [CS] simplex_idx=80, verts=(8, 22, 36, 66), scenario=0, dual_bound=413.268464896204, primal_obj=413.26846485412415, gap=4.2079875584022375e-08
[Iter 60] [CS] simplex_idx=80, verts=(8, 22, 36, 66), scenario=4, dual_bound=248.9672144185206, primal_obj=248.96721424115754, gap=1.773630629031686e-07
[Iter 61] [CS] simplex_idx=82, verts=(8, 22, 36, 67), scenario=4, dual_bound=248.96721464775328, primal_obj=248.9672140561251, gap=5.916281793361122e-07
[Iter 63] [CS] simplex_idx=84, verts=(8, 22, 36, 69), scenario=0, dual_bound=413.26846620519973, primal_obj=413.26846615283097, gap=5.236876177150407e-08
[Iter 63] [CS] simplex_idx=84, verts=(8, 22, 36, 69), scenario=4, dual_bound=248.96721438158056, primal_obj=248.96721408825957, gap=2.9332099416023993e-07
[Iter 65] [CS] simplex_idx=86, verts=(8, 22, 36, 71), scenario=4, dual_bound=248.9672143119642, primal_obj=248.96721395424734, gap=3.5771685702457034e-07
[Iter 66] [CS] simplex_idx=86, verts=(8, 22, 36, 72), scenario=0, dual_bound=413.26846505589674, primal_obj=413.26846488877425, gap=1.671224936217186e-07
[Iter 67] [CS] simplex_idx=88, verts=(8, 22, 36, 73), scenario=0, dual_bound=413.2684673356671, primal_obj=413.26846726644936, gap=6.921771955603617e-08
[Iter 67] [CS] simplex_idx=88, verts=(8, 22, 36, 73), scenario=4, dual_bound=248.96721422195333, primal_obj=248.967213920643, gap=3.013103366811265e-07
[Iter 68] [CS] simplex_idx=89, verts=(8, 22, 36, 74), scenario=0, dual_bound=413.26846257062607, primal_obj=413.26846252773504, gap=4.2891031171166105e-08
[Iter 68] [CS] simplex_idx=89, verts=(8, 22, 36, 74), scenario=4, dual_bound=248.96721268643523, primal_obj=248.9672122661576, gap=4.202776437978173e-07
[Iter 69] [CS] simplex_idx=89, verts=(8, 22, 36, 75), scenario=4, dual_bound=248.967213048516, primal_obj=248.967212909431, gap=1.390849888593948e-07
[Iter 70] [CS] simplex_idx=91, verts=(8, 22, 36, 76), scenario=4, dual_bound=248.9672142404197, primal_obj=248.96721387698585, gap=3.634338554547867e-07
[Iter 71] [CS] simplex_idx=91, verts=(8, 22, 36, 77), scenario=0, dual_bound=413.26846589485103, primal_obj=413.268465865875, gap=2.8976046451134607e-08
[Iter 74] [CS] simplex_idx=95, verts=(8, 22, 36, 80), scenario=0, dual_bound=413.26846698813097, primal_obj=413.2684668647399, gap=1.233910893461143e-07
[Iter 74] [CS] simplex_idx=95, verts=(8, 22, 36, 80), scenario=4, dual_bound=248.9672141087758, primal_obj=248.96721385444462, gap=2.5433118366890994e-07
[Iter 75] [CS] simplex_idx=95, verts=(8, 22, 36, 81), scenario=0, dual_bound=413.2684642370132, primal_obj=413.2684642242714, gap=1.2741793398163281e-08
[Iter 75] [CS] simplex_idx=95, verts=(8, 22, 36, 81), scenario=4, dual_bound=248.96721256287492, primal_obj=248.96721194693453, gap=6.159403937999741e-07
[Iter 76] [CS] simplex_idx=97, verts=(8, 22, 36, 82), scenario=0, dual_bound=413.26846743269743, primal_obj=413.2684674041007, gap=2.8596730317076435e-08
[Iter 76] [CS] simplex_idx=97, verts=(8, 22, 36, 82), scenario=4, dual_bound=248.96721429011814, primal_obj=248.96721410399678, gap=1.8612135477269476e-07
[Iter 77] [CS] simplex_idx=97, verts=(8, 22, 36, 83), scenario=4, dual_bound=248.9672143203461, primal_obj=248.9672140797046, gap=2.4064149783953326e-07
[Iter 78] [CS] simplex_idx=99, verts=(8, 22, 36, 84), scenario=4, dual_bound=248.96721447620075, primal_obj=248.9672143636519, gap=1.1254886089773208e-07
[Iter 80] [CS] simplex_idx=101, verts=(8, 22, 36, 86), scenario=0, dual_bound=413.26846574038245, primal_obj=413.26846561362856, gap=1.2675388916250085e-07
[Iter 80] [CS] simplex_idx=101, verts=(8, 22, 36, 86), scenario=4, dual_bound=248.9672146119883, primal_obj=248.9672139837009, gap=6.282874096541491e-07
