Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
17.700,32,-133.359819816,-132.343253129,0.7681288%,1.01657,-133.359819816,-132.343253129,N/A,N/A,N/A,0/100,none,none
37.727,32,-133.359819816,-132.672215364,0.5182731%,0.68760,-133.359819816,-132.672215364,OUTSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100,none
2362.312,33,-132.910803536,-132.672376377,0.1797112%,0.23843,-132.910803536,-132.672376377,INSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100,none
2445.845,34,-132.847648445,-132.768318517,0.0597506%,0.07933,-132.847648445,-132.768318517,OUTSIDE,INSIDE,ok_not_best,0/100,0/100; 0/100,none
2527.980,35,-132.847331339,-132.768318517,0.0595118%,0.07901,-132.847331339,-132.768318517,INSIDE,OUTSIDE,ok_not_best,0/100,0/100; 0/100; 0/100; 0/100; 0/100; 0/100,none
